A0A0C5B5G6	A0A0C5B5G6
Q9JJW0	Q9JJW0
Q9JJW0	P59382
Q9JJW0	Q9Y6I8
Q9M1R2	Q9M1R2
Q9M1R2	Q9FYR6
Q9M1R2	Q8I5R7
Q9M1R2	O60155
Q9M1R2	P38708
P0AB49	P0AB49
P39284	P39284
P64455	P64455
Q80ZS3	Q80ZS3
Q80ZS3	Q9BYN8
Q80ZS3	Q3SZ86
Q94C27	Q94C27
Q9D3H0	Q9D3H0
Q9D3H0	Q96HE8
Q9FMQ1	Q9FMQ1
Q9SQZ9	Q9SQZ9
Q9SQZ9	O43396
O07580	O07580
O81916	O81916
P0ADI7	P0ADI7
P32047	P32047
P38842	P38842
Q02209	Q02209
Q0WKV8	Q0WKV8
Q54N17	Q54N17
Q54N17	Q9FML6
Q54N17	Q9UTQ6
Q54N17	P62844
Q54N17	Q9FIX6
Q54N17	Q9FY65
Q54N17	O94715
Q54N17	P62843
Q54N17	Q01855
Q54N17	Q9XVP0
Q54N17	Q08112
Q54N17	Q9FY66
Q54N17	P62845
Q54N17	P62841
Q54N17	Q9FY64
Q54N17	G1U0Q2
Q7X7E6	Q7X7E6
Q7X7E6	Q7X8H9
Q8VHS6	Q8VHS6
Q8VHS6	Q8WXK1
Q8VHS6	A6NK59
Q9C924	Q9C924
Q06552	Q06552
O13962	O13962
O13962	Q00873
O13962	P53701
O13962	P53702
O13962	P53703
O59780	O59780
O74939	O74939
P0DKI8	P0DKI8
P84678	P84678
P9WGA3	P9WGA3
P9WLN3	P9WLN3
Q09867	Q09867
Q9Y7M6	Q9Y7M6
O13679	O13679
O53438	O53438
O94317	O94317
P0DKC2	P0DKC2
P0DKC2	Q9LXF3
P0DKC2	Q9XI72
P0DKC2	Q9FFZ7
P0DKC2	Q9ZQI2
P0DKC2	Q9CAX3
P0DKC2	Q9SIH4
P9WFQ3	P9WFQ3
P9WKR5	P9WKR5
Q09791	Q09791
Q4QFD3	Q4QFD3
Q9USS7	Q9USS7
O13971	O13971
O59785	O59785
O94345	O94345
O94345	Q3T0L3
O94345	Q9NRX2
O94345	Q9D8P4
O94345	P22353
P84555	P84555
P84555	P84554
P87293	P87293
P9WJH5	P9WJH5
Q5A6Q7	Q5A6Q7
Q97NX8	Q97NX8
Q97NX8	P0A8C8
Q9P7U7	Q9P7U7
C0HLZ4	C0HLZ4
O14322	O14322
O60183	O60183
O94497	O94497
P0DOA6	P0DOA6
P0DOA6	P9WNJ5
P0DOA6	P9WNI7
P0DOA6	P0DOA7
P0DOA6	P9WNJ3
P86732	P86732
P9WJ07	P9WJ07
Q10354	Q10354
Q97T34	Q97T34
Q9P7W2	Q9P7W2
O14016	O14016
O60113	O60113
P86734	P86734
P86734	P86729
P9WJD3	P9WJD3
Q09895	Q09895
Q6ENF8	Q6ENF8
Q6ENF8	P60129
Q6ENF8	P0C416
Q6ENF8	P0C417
Q6ENF8	P60137
Q9P6K3	Q9P6K3
P64610	P64610
Q9LV66	Q9LV66
P0AB31	P0AB31
P53906	P53906
Q9LF20	Q9LF20
Q9LF20	Q9LZP6
P77656	P77656
O13767	O13767
Q10273	Q10273
P9WL19	P9WL19
Q9USN6	Q9USN6
Q09678	Q09678
O69659	O69659
P9WLD1	P9WLD1
D3W0D1	D3W0D1
O60942	O60942
O60942	O55236
O60942	Q17607
P04844	P04844
P04844	Q9DBG6
P04844	P25235
P04844	F1PCT7
P13994	P13994
P13994	Q09651
P13994	Q7K0F0
P29017	P29017
P29017	P15812
P29017	P15813
P29017	P29016
P29017	P06126
P29017	P11609
P29017	P11610
P35555	P35555
P35555	P98133
P35555	Q61554
P35555	Q61555
P35555	P35556
P50461	P50461
P50461	P50463
P50461	P50462
P50461	Q05158
P50461	P97314
P50461	Q62908
P50461	P21291
P50461	P97315
P50461	Q16527
P50461	P67966
P52849	P52849
P52849	Q02353
P52849	Q9EQH7
P52849	P52850
P52849	Q9EQW8
P52849	O95803
P52849	P52848
P52849	Q3UHN9
P52849	Q9V3L1
Q13117	Q13117
Q13117	Q9NR90
Q13117	Q64368
Q13117	Q92904
Q13117	Q86SG3
Q13117	Q9NQZ3
Q3KRB8	Q3KRB8
Q5VZY2	Q5VZY2
Q5VZY2	Q8NEB5
Q5VZY2	Q0VBU9
Q5VZY2	Q9XI60
Q5VZY2	Q8LFD1
Q5VZY2	Q9ZU49
Q86VW1	Q86VW1
Q8IY17	Q8IY17
Q8IY17	Q3TRM4
Q8IY17	A2AJ88
Q8IY17	Q9U969
Q8N680	Q8N680
Q8NFU3	Q8NFU3
Q8WV24	Q8WV24
Q8WV24	Q9QZA1
Q8WV24	Q62392
Q969F1	Q969F1
Q9BTD3	Q9BTD3
Q9UM63	Q9UM63
Q9UM63	Q9QYE0
Q9UM63	Q6DJT9
Q9UM63	Q9UPG8
O14559	O14559
O14559	Q80YF9
O15027	O15027
O15027	E9QAT4
O75317	O75317
O75317	P62068
O75317	F1M625
O75317	Q9D9M2
O75317	P62069
O75317	P34547
O75317	Q9VCT9
O75817	O75817
O75817	Q2MGL3
P23327	P23327
P41217	P41217
P41217	P04218
P41217	O54901
P51160	P51160
P51160	Q91ZQ1
P51160	P16499
P51160	P11541
P51160	P23440
P51160	P35913
P51160	P27664
P51160	P23439
P52788	P52788
P52788	P97355
P55197	P55197
P55197	O54826
P55197	P55198
Q0VG06	Q0VG06
Q13515	Q13515
Q13515	Q6NVD9
Q15047	Q15047
Q15047	O88974
Q6UWY0	Q6UWY0
Q6UWY0	Q9D2L1
Q70EL1	Q70EL1
Q7Z2Z1	Q7Z2Z1
Q86VQ0	Q86VQ0
Q86VQ0	Q80ST9
Q86VQ0	Q5U2Y9
Q8N137	Q8N137
Q8TC41	Q8TC41
Q96FH0	Q96FH0
Q96MD2	Q96MD2
Q96QF7	Q96QF7
Q9GZZ8	Q9GZZ8
Q9H6Z4	Q9H6Z4
Q9NRY2	Q9NRY2
Q9NVV5	Q9NVV5
Q9NY74	Q9NY74
Q9Y5N6	Q9Y5N6
Q9Y5N6	Q9WUJ8
O43920	O43920
O43920	Q99LY9
O43920	Q02379
O75947	O75947
O75947	P31399
O75947	Q9DCX2
O75947	P13620
O75947	Q24251
P48651	P48651
P48651	Q00576
P48651	Q99LH2
P48651	Q9VPD3
P53370	P53370
P83111	P83111
P83111	Q9EP89
Q13202	Q13202
Q13202	O09112
Q13202	Q9BY84
Q4ZJI4	Q4ZJI4
Q4ZJI4	Q8C0X2
Q4ZJI4	Q5BKR2
Q4ZJI4	Q86UD5
Q4ZJI4	A0A6P3HVI0
Q5JXC2	Q5JXC2
Q68DK2	Q68DK2
Q68DK2	Q5DU37
Q6NUP7	Q6NUP7
Q6NUP7	Q8C0Y0
Q86UQ4	Q86UQ4
Q86UQ4	Q5SSE9
Q8NCG5	Q8NCG5
Q8NCG5	Q9R1I1
Q8NCG5	Q9GZX3
Q8NCG5	Q9GZS9
Q8NCG5	Q9QUP4
Q96Q11	Q96Q11
Q96Q11	Q8K1J6
Q96Q11	F6NXI9
Q99062	Q99062
Q99062	P40223
Q9BZL1	Q9BZL1
Q9BZL1	Q6Q546
Q9BZL1	Q9FGZ9
Q9BZL1	P91302
Q9BZL1	O94650
Q9H0U6	Q9H0U6
Q9H0U6	Q9CQL5
Q9H0U6	Q3ZBR7
Q9H7B2	Q9H7B2
Q9H7B2	Q9VEB3
Q9H7B2	Q9LUG5
Q9H7B2	Q9UUG1
Q9H7B2	P36160
Q9NUD9	Q9NUD9
Q9P253	Q9P253
Q9P253	Q8R307
Q9P253	P59015
A4D1P6	A4D1P6
O75478	O75478
O75478	Q8CHV6
P16144	P16144
P16144	A2A863
P16144	Q64632
P19440	P19440
P19440	P07314
P19440	P36268
P19440	Q60928
P19440	A6NGU5
P19440	Q9QWE9
P19440	Q9Z2A9
P19440	P36269
P19440	Q8VYW6
P19440	Q680I5
P19440	Q9M0G0
P47974	P47974
P47974	P17431
P47974	Q07352
P47974	P23950
P47974	Q805B4
P47974	Q7ZXW9
P47974	P23949
P98088	P98088
Q13310	Q13310
Q13310	Q9EPH8
Q13310	P61286
Q13310	P11940
Q13310	P29341
Q13310	P21187
Q13310	Q9H361
Q13310	Q98SP8
Q13310	A2A5N3
Q13310	Q4VXU2
Q13310	F1QB54
Q13310	P20965
Q13310	P04147
Q13310	Q54BM2
Q13310	P42731
Q13310	Q9FXA2
Q13310	O22173
Q13310	P31209
Q13310	Q2UK72
Q13310	O64380
Q13310	Q05196
Q13310	O04319
Q13310	Q96DU9
Q14157	Q14157
Q14157	Q80X50
Q14157	Q5T6F2
Q14677	Q14677
Q14677	A7Z035
Q5QGZ9	Q5QGZ9
Q5QGZ9	Q504P2
Q6GTS8	Q6GTS8
Q6GTS8	Q8C165
Q6UXT8	Q6UXT8
Q6UXT8	E7F5F0
Q6UXT8	Q6UX46
Q6UXT8	F8W2C9
Q6UXT8	E7FAP8
Q6ZVT0	Q6ZVT0
Q6ZVT0	A4Q9F3
Q86SQ6	Q86SQ6
Q86SQ6	Q8C4G9
Q8IYF1	Q8IYF1
Q8IYF1	Q14241
Q8IYF1	Q63187
Q8NHY2	Q8NHY2
Q8NHY2	Q9R1A8
Q8WY98	Q8WY98
Q96BW5	Q96BW5
Q96BW5	Q60866
Q96FF9	Q96FF9
Q96FF9	Q9CPY3
Q9BPX6	Q9BPX6
Q9BPX6	Q8VCX5
Q9BPX6	A2VEI2
Q9H900	Q9H900
Q9P0J7	Q9P0J7
Q9P0J7	Q95RX5
Q9UJX5	Q9UJX5
Q9UPQ4	Q9UPQ4
Q9UPQ4	Q8C006
O15085	O15085
O15085	Q9ES67
O43182	O43182
O43182	O54834
O75462	O75462
O75462	Q9JM58
O96033	O96033
O96033	Q9Z224
P07476	P07476
Q15369	Q15369
Q15369	P83941
Q15369	P83940
Q3MIT2	Q3MIT2
Q5T5C0	Q5T5C0
Q5T5C0	Q8K400
Q5T5C0	Q9WU70
Q5T5C0	Q5DQR4
Q5T5C0	Q9Y2K9
Q6P9G9	Q6P9G9
Q70HW3	Q70HW3
Q70HW3	Q4V9P0
Q70HW3	Q5U680
Q70HW3	P38921
Q7Z3D4	Q7Z3D4
Q86WB7	Q86WB7
Q86WB7	Q9Y115
Q8IUR6	Q8IUR6
Q8IUR6	Q8CDG5
Q8IXW5	Q8IXW5
Q8TAD2	Q8TAD2
Q92990	Q92990
Q92990	Q8BZM1
Q96AG4	Q96AG4
Q96JP5	Q96JP5
Q9BQD3	Q9BQD3
Q9BQD3	Q80XH1
Q9BQD3	Q9VTY4
Q9HCQ7	Q9HCQ7
Q9HCQ7	Q9DGD4
Q9HCQ7	Q9ESQ9
Q9NZD4	Q9NZD4
Q9NZD4	Q9CY02
Q9P266	Q9P266
Q9P266	Q5DTX6
Q9UDV6	Q9UDV6
A0A5K7RLP0	A0A5K7RLP0
D3Z423	D3Z423
F4HQA1	F4HQA1
F4JAA5	F4JAA5
F4JAA5	O59801
F4JAA5	Q15477
F4JAA5	P35207
O01479	O01479
O17581	O17581
O31775	O31775
O76906	O76906
P04370	P04370
P05804	P05804
P05804	P12265
P05804	P06760
P05804	P08236
P0A6Z6	P0A6Z6
P0CY06	P0CY06
P10819	P10819
P10819	Q27580
P10819	P23526
P10819	P10760
P10819	P50247
P10819	P83783
P10819	O13639
P10819	P39954
P10819	Q9VZX9
P10819	Q68FL4
P10819	Q80SW1
P10819	B5DFN2
P10819	Q96HN2
P10819	O43865
P10819	A6QLP2
P10819	Q9LK36
P10819	O23255
P10819	P9WGV3
P11709	P11709
P14737	P14737
P25519	P25519
P28321	P28321
P32343	P32343
P33891	P33891
P34756	P34756
P36680	P36680
P38149	P38149
P38788	P38788
P38788	P87142
P39727	P39727
P42526	P42526
P42526	P13231
P45464	P45464
P47043	P47043
P48240	P48240
P53554	P53554
P63228	P63228
P77674	P77674
Q02521	Q02521
Q06058	Q06058
Q07508	Q07508
Q07508	Q9USM4
Q08816	Q08816
Q10931	Q10931
Q12438	Q12438
Q19325	Q19325
Q21489	Q21489
Q24247	Q24247
Q3LGD4	Q3LGD4
Q3LGD4	Q86YS3
Q3LGD4	O75154
Q3LGD4	Q8CHD8
Q3U9N9	Q3U9N9
Q3U9N9	Q8TF71
Q3U9N9	Q91Y77
Q3U9N9	G8XYX6
Q3U9N9	O70324
Q3U9N9	Q8K1P8
Q3U9N9	P36021
Q4L208	Q4L208
Q4L208	Q8R4D1
Q4L208	Q9Y2E8
Q4L208	Q552S0
Q54QV3	Q54QV3
Q5BJZ6	Q5BJZ6
Q5BJZ6	F1N9S8
Q5BJZ6	Q8N4J0
Q5BJZ6	Q9I7X6
Q60829	Q60829
Q60829	Q6J4I0
Q60829	P07516
Q60829	Q9UD71
Q62052	Q62052
Q62052	Q04671
Q6PDM4	Q6PDM4
Q6PDM4	Q8IYA8
Q7KRU8	Q7KRU8
Q7KRU8	I4DJ24
Q7KRU8	P41822
Q80Z19	Q80Z19
Q80Z19	Q02817
Q86H13	Q86H13
Q8BSU2	Q8BSU2
Q8BSU2	Q9H2A7
Q8CFA7	Q8CFA7
Q8CFA7	Q5JT82
Q8CJC5	Q8CJC5
Q8CJC5	Q96EH8
Q8L5Y9	Q8L5Y9
Q8R4N0	Q8R4N0
Q8R4N0	Q8N0X4
Q94IA6	Q94IA6
Q94IA6	Q9M066
Q9C707	Q9C707
Q9C707	Q9FJ00
Q9D7L8	Q9D7L8
Q9D7L8	Q6UXZ0
Q9ERE4	Q9ERE4
Q9ERE4	Q9CRA5
Q9ERE4	Q9H4A6
Q9ERE4	Q9VQ93
Q9ERE4	Q9H4A5
Q9ERE4	O14205
Q9ERE4	Q06385
Q9FXT6	Q9FXT6
Q9JMC1	Q9JMC1
Q9JMC1	Q15735
Q9JMC1	P59644
Q9LIQ6	Q9LIQ6
Q9TW28	Q9TW28
Q9VNX1	Q9VNX1
Q9VX88	Q9VX88
Q9Z0F6	Q9Z0F6
Q9Z0F6	Q99638
A1A4I9	A1A4I9
A1A4I9	O94874
A1A4I9	B2GV24
A1A4I9	Q8CCJ3
A2RVU1	A2RVU1
A2RVU1	O65708
B0G126	B0G126
F4IVL6	F4IVL6
F8W3R9	F8W3R9
F8W3R9	F1QVU0
F8W3R9	P97793
F8W3R9	Q9UM73
G5EFF5	G5EFF5
O22259	O22259
O22259	O82503
O22259	Q9SUQ2
O22259	Q8W4I5
O22259	Q9C995
O22259	P42736
O22259	Q8H0T5
O34840	O34840
O64471	O64471
O76329	O76329
A1EGX6	A1EGX6
E9Q6D8	E9Q6D8
E9Q6D8	P13671
E9Q6D8	Q811M5
F4JPE9	F4JPE9
O49629	O49629
O49629	O99019
O49629	P80471
O49629	O81439
O49629	O82291
P08723	P08723
P0ABT8	P0ABT8
P16497	P16497
P28304	P28304
P36164	P36164
P38783	P38783
P40499	P40499
P53059	P53059
P53059	P53745
P56479	P56479
P56479	P47211
P56479	Q62805
P56479	E7F7V7
P56479	F1R332
P56479	O60755
P56479	O88626
P56479	O88853
P56479	O08726
P56479	O88854
P56479	O43603
P90761	P90761
Q03281	Q03281
Q12163	Q12163
Q1EHW4	Q1EHW4
Q23652	Q23652
Q5CCK1	Q5CCK1
Q5CCK1	Q2RAP4
Q5CCK1	Q42569
Q60I26	Q60I26
Q60I26	Q60I27
Q6S592	Q6S592
Q6S592	Q6S591
Q80XF5	Q80XF5
Q80XF5	Q969J5
Q8BSE0	Q8BSE0
Q8BSE0	Q96LZ7
Q8CJD3	Q8CJD3
Q8CJD3	O60844
Q8CJD3	Q8K0C5
Q8LD27	Q8LD27
Q8LD27	P28072
Q8LD27	O43063
Q8LD27	Q3MHN0
Q8LD27	Q60692
Q8LD27	Q55GJ6
Q8LD27	P28077
Q8LD27	Q3SZC2
Q8LD27	P28065
Q8LD27	P28076
Q8LD27	P38624
Q8VZJ2	Q8VZJ2
Q8VZJ2	P52407
Q8VZJ2	O22317
Q8VZJ2	O49353
Q8VZJ2	P33157
Q8VZJ2	F4J270
Q8VZJ2	P15737
Q944A9	Q944A9
Q944A9	Q9LNH6
Q944A9	Q9LRP1
Q9FFF1	Q9FFF1
Q9FFF1	Q9C6S2
Q9FQ19	Q9FQ19
Q9LE56	Q9LE56
Q9LZA5	Q9LZA5
Q9N3Q4	Q9N3Q4
Q9TYT0	Q9TYT0
Q9VJ07	Q9VJ07
Q9ZPE4	Q9ZPE4
B6SFA4	B6SFA4
E9Q956	E9Q956
E9Q956	Q4G0Z9
P0AG00	P0AG00
P10441	P10441
P18392	P18392
P32669	P32669
P32669	P78055
P38179	P38179
P39932	P39932
P42758	P42758
P42758	B1NY81
P47125	P47125
P52867	P52867
P52867	P33775
P52867	O74189
P53934	P53934
P75797	P75797
P82869	P82869
Q01329	Q01329
Q12171	Q12171
Q18299	Q18299
Q22836	Q22836
Q22836	P39736
Q22836	Q9CSN1
Q22836	Q13573
Q22836	Q6K8D9
Q22836	O80653
Q22836	Q09882
Q3UWW6	Q3UWW6
Q3UWW6	Q86XJ1
Q7YZH1	Q7YZH1
Q86A84	Q86A84
Q8CJ70	Q8CJ70
Q8CJ70	Q9UHD0
Q8MPQ7	Q8MPQ7
Q8W0Z9	Q8W0Z9
Q93Z96	Q93Z96
Q93Z96	Q9LR75
Q9CQ79	Q9CQ79
Q9CQ79	O14530
Q9CQ79	Q6NPL9
Q9CQ79	Q8LCV1
Q9CQ79	Q11183
Q9S7T1	Q9S7T1
Q9S7T1	Q8H1D7
Q9SY69	Q9SY69
Q9VX25	Q9VX25
Q9VX25	Q16763
Q9VX25	Q9FF66
O44498	O44498
O44498	Q9U263
P05626	P05626
P05626	O94373
P25567	P25567
P32027	P32027
P34638	P34638
P38148	P38148
P39677	P39677
P47030	P47030
P75993	P75993
P85091	P85091
Q08561	Q08561
Q12471	Q12471
Q32MG2	Q32MG2
Q32MG2	Q8NA61
Q3U285	Q3U285
Q3U285	Q8N3X6
Q54CH1	Q54CH1
Q6AY96	Q6AY96
Q6AY96	P35269
Q6AY96	Q3THK3
Q6AY96	Q05913
Q6PHZ5	Q6PHZ5
Q6PHZ5	Q8NDT2
Q6PHZ5	Q0VBL3
Q6PHZ5	Q96T37
Q84WU4	Q84WU4
Q84WU4	Q8VYU6
Q8C1D8	Q8C1D8
Q8C1D8	Q96ST2
Q8GYP3	Q8GYP3
Q8R3H9	Q8R3H9
Q8R3H9	O95801
Q93ZJ9	Q93ZJ9
Q96273	Q96273
Q96273	Q39138
Q9CQT6	Q9CQT6
Q9CQT6	Q8WW14
Q9JL10	Q9JL10
Q9JL10	Q9UHV2
Q9LSQ2	Q9LSQ2
Q9XIB5	Q9XIB5
Q9XIB5	Q8L3W1
F4I893	F4I893
H2L0H5	H2L0H5
O23090	O23090
P00934	P00934
P0A7H3	P0A7H3
P27792	P27792
P27792	P12980
P36036	P36036
P38909	P38909
P40154	P40154
P48997	P48997
P53390	P53390
P53390	P40260
P53390	Q9C0V1
P53390	P41948
P53390	Q9US00
P75905	P75905
Q06071	Q06071
Q09272	Q09272
Q12028	Q12028
Q20123	Q20123
Q4KL20	Q4KL20
Q4KL20	Q9D350
Q4KL20	Q3UT54
Q4KL20	G3X9P6
Q4KL20	Q8VHG5
Q6E263	Q6E263
Q7X7H4	Q7X7H4
Q7X7H4	F4JZ68
Q7X7H4	F4JUI9
Q7X7H4	Q8LNZ2
Q7X7H4	Q8S949
Q7X7H4	Q8S950
Q7X7H4	Q8S905
Q84M91	Q84M91
Q8BT07	Q8BT07
Q8BT07	Q53EZ4
Q8S3D2	Q8S3D2
Q923M0	Q923M0
Q923M0	Q96I34
Q923M0	Q95N27
Q923M0	Q8VHQ3
Q923M0	Q96T49
Q9SB38	Q9SB38
Q9SNQ6	Q9SNQ6
Q9U6M0	Q9U6M0
Q9VRA2	Q9VRA2
Q9WU00	Q9WU00
Q9WU00	Q16656
Q9WU00	Q90X44
Q9WU00	Q24312
G3XD43	G3XD43
Q9HW93	Q9HW93
Q9HW93	G3XD24
Q9HW93	Q9HW91
A0A1X9ISH5	A0A1X9ISH5
A0A1X9ISH5	A0A1W6QDI7
A0A1X9ISH5	G8GJ94
A0A1X9ISH5	A0A2K9RFZ9
A0A1X9ISH5	A0A2K9RFZ2
A0A1X9ISH5	A0A075FBG7
A0A1X9ISH5	A0A1Z3GCD1
A0A1X9ISH5	G3CCC1
A8ICS9	A8ICS9
O42923	O42923
Q09330	Q09330
Q1K9C2	Q1K9C2
Q1K9C2	P47169
Q4WF61	Q4WF61
Q5AA09	Q5AA09
Q5W7F3	Q5W7F3
Q9UW12	Q9UW12
A2QK67	A2QK67
C0HKY0	C0HKY0
C0HKY0	C0HKX9
C0HKY0	C0HKX8
O59666	O59666
O74843	O74843
P84994	P84994
Q58297	Q58297
Q5AUY3	Q5AUY3
Q88P32	Q88P32
Q88P32	P46118
Q9P7J4	Q9P7J4
Q9UT81	Q9UT81
A0A2I8B352	A0A2I8B352
A1CFL5	A1CFL5
A1CFL5	A0A075TRL5
A1CFL5	A0A075TMP8
A1CFL5	A1CFL6
O14259	O14259
O94459	O94459
P49230	P49230
P93647	P93647
P93647	O64948
P93647	Q3MIB4
P93647	Q9DBN5
P93647	Q86WA8
P93647	P0A9M0
P9WN43	P9WN43
P9WN43	P0A6V1
Q09868	Q09868
Q2EN75	Q2EN75
Q2EN75	P05964
Q2EN75	P06703
Q2EN75	P30801
Q2EN75	P14069
Q2EN75	Q98953
Q2EN75	Q91061
Q2EN75	P07091
Q2EN75	P05942
Q2EN75	P29034
Q2EN75	P26447
Q2EN75	Q503K9
Q2EN75	P23297
Q2EN75	P56565
Q2EN75	P35467
Q2EN75	P02639
Q2EN75	Q8WXG8
Q2EN75	P25815
Q2EN75	P33763
Q2EN75	P63084
Q2EN75	P33764
Q2EN75	P62818
Q2EN75	P04631
Q2EN75	P04271
Q2EN75	P02638
Q2EN75	P50114
Q9P7S5	Q9P7S5
Q9UTN2	Q9UTN2
D4AK45	D4AK45
D4AK45	Q4WZ66
D4AK45	D3J0Z1
G8B839	G8B839
G8B839	P32787
G8B839	O14354
O42958	O42958
O74472	O74472
O94703	O94703
O94703	P32529
P87140	P87140
Q09948	Q09948
Q28298	Q28298
Q28298	Q99PL5
Q28298	Q9P2E9
Q9UT79	Q9UT79
W7LC91	W7LC91
B3IXK1	B3IXK1
C4R6F0	C4R6F0
C4R6F0	Q92262
K4BIZ9	K4BIZ9
K4BIZ9	Q9LY00
K4BIZ9	Q93WU8
O14001	O14001
O59704	O59704
O94258	O94258
P15308	P15308
P62368	P62368
P9WG55	P9WG55
P9WN29	P9WN29
Q9GSF8	Q9GSF8
Q9UUB5	Q9UUB5
Q06250	Q06250
Q96C90	Q96C90
Q96C90	Q8K3F3
Q96C90	Q8R4S0
Q96C90	Q8R4R9
Q96C90	Q99MC0
Q96C90	Q96A00
Q96C90	O18734
Q96C90	Q91VC7
Q9NPI7	Q9NPI7
Q7RTU0	Q7RTU0
Q7RTU0	Q9JLR5
Q7RTU0	Q7RTU1
Q9H2I8	Q9H2I8
A0A590UK83	A0A590UK83
Q8N4V2	Q8N4V2
Q8N4V2	Q9Z2I7
P0CH99	P0CH99
Q8IXT5	Q8IXT5
Q8WWA1	Q8WWA1
A7E2U8	A7E2U8
Q05BV3	Q05BV3
Q5TG30	Q5TG30
Q8IW50	Q8IW50
Q8IW50	Q5XKK7
Q8TAV5	Q8TAV5
Q9GZY1	Q9GZY1
A2APY7	A2APY7
A2APY7	Q5TEU4
A2APY7	Q54JW0
F1RDM5	F1RDM5
G5EFH1	G5EFH1
O64733	O64733
P0ACT2	P0ACT2
P0CE10	P0CE10
P0CE10	F4KGU4
P18496	P18496
P34478	P34478
P38765	P38765
P38765	Q8NIL3
P42911	P42911
P61042	P61042
P61042	Q6ENI5
P61042	P0C395
P61042	P0C396
Q03798	Q03798
Q18486	Q18486
Q18486	Q92338
Q18486	P27697
Q18486	Q566J8
Q18486	Q96D53
Q18486	A3QJU3
Q18486	Q60936
Q18486	Q8NI60
Q18486	Q9SBB2
Q550U9	Q550U9
Q7XJR2	Q7XJR2
Q7XJR2	Q66GI9
Q7XJR2	O82390
Q7XJR2	Q8GX78
Q86AT9	Q86AT9
Q8CFK2	Q8CFK2
Q8CFK2	Q92994
Q8L718	Q8L718
Q8L718	Q0WUC5
Q9C7K0	Q9C7K0
Q9C7K0	Q9C7J9
Q9D0L7	Q9D0L7
Q9D0L7	Q8N2F6
Q9D0L7	Q9UH62
Q9D0L7	Q8BHS6
Q9D0L7	Q9P291
Q9D0L7	Q9CX83
Q9JII4	Q9JII4
Q9LPV8	Q9LPV8
Q9LPV8	P35614
Q9LPV8	D2K759
Q9LPV8	Q39097
Q9LPV8	Q9VPH7
Q9LPV8	P12385
Q9LPV8	P62495
Q9LPV8	P79063
Q9LPV8	Q9NAX8
Q9V589	Q9V589
Q9VZ35	Q9VZ35
Q9ZU90	Q9ZU90
F4I5D5	F4I5D5
M9NE38	M9NE38
O34767	O34767
O76735	O76735
P08568	P08568
P0AEU3	P0AEU3
P0DKJ8	P0DKJ8
P23910	P23910
P34424	P34424
P38767	P38767
P38767	Q05497
P41886	P41886
P54141	P54141
P75938	P75938
P90526	P90526
P90526	Q9SIP7
P90526	A0A1D8PSV5
P90526	P62909
P90526	P05750
P90526	O60128
P90526	Q9M339
P90526	Q06559
P90526	Q9FJA6
P90526	P23396
P90526	P62908
P90526	G1TNM3
P90526	Q0Z8U2
Q05015	Q05015
Q05015	Q99369
Q8L748	Q8L748
Q921Z5	Q921Z5
Q921Z5	Q8K288
Q921Z5	O95379
Q921Z5	Q8WVP5
Q921Z5	Q3TBL6
Q921Z5	Q5GJ75
Q921Z5	Q9D8Y7
Q921Z5	Q6P589
Q921Z5	Q7KVH9
Q9CR89	Q9CR89
Q9CR89	Q96RQ1
Q9FKP2	Q9FKP2
Q9FKP2	Q9LJI2
Q9FKP2	Q9SYG9
Q9M098	Q9M098
Q9M098	O82230
F4I241	F4I241
O04093	O04093
O04093	A7XGN8
O04093	Q8W3K0
O04093	Q8W4J9
O44953	O44953
P0A9G2	P0A9G2
P0DP21	P0DP21
P36090	P36090
P47049	P47049
P63389	P63389
Q12057	Q12057
Q6DRJ9	Q6DRJ9
Q6DRJ9	Q80ZG1
Q6DRJ9	Q3TIR3
Q6DRJ9	Q9NPQ8
Q6DRJ9	Q80XE1
Q6DRJ9	Q9NVN3
Q7TST0	Q7TST0
Q86IJ1	Q86IJ1
Q86IJ1	O76577
Q86IJ1	O00487
Q86IJ1	Q9LT08
Q86IJ1	P43588
Q86IJ1	P41878
Q86IJ1	Q9V3H2
Q86IJ1	O35593
Q8CGK6	Q8CGK6
Q8CGK6	Q4VK74
Q8CGK6	Q8IZI9
Q8CGK6	Q8IZJ0
Q8CGK6	Q8IU54
Q8RYD3	Q8RYD3
Q8RYD3	Q9FNI3
Q8RYD3	Q8GYJ2
Q8RYD3	Q9M268
Q8RYD3	O82799
Q8RYD3	Q9MAN1
Q9C992	Q9C992
Q9C992	Q9FH27
Q9C992	Q570B4
Q9C992	Q5XEP9
Q9C992	Q9FG87
Q9C992	Q38860
Q9C992	O65677
Q9C992	Q9SS39
Q9C992	Q9ZUZ0
Q9C992	Q9SYZ0
Q9C992	Q4V3C9
Q9C992	Q9MAM3
Q9C992	Q9LN49
Q9C992	Q9C6L5
Q9C992	Q9SIX1
Q9C992	O48780
Q9C992	Q9XF43
Q9C992	Q9LZ72
Q9C992	Q9SIB2
Q9C992	Q9LQP8
Q9D0N8	Q9D0N8
Q9D0N8	Q6PEY1
Q9FK07	Q9FK07
Q9FK07	O76031
Q9FK07	Q9JHS4
Q9FK07	P50866
Q9FK07	P0A6H1
Q9FK07	P9WPB9
Q9LW20	Q9LW20
Q9NIF3	Q9NIF3
Q9NIF3	Q9SII9
Q9NIF3	Q9SII8
